Country,Lat,Long,Date,Confirmed,Deaths,Recovered,Active,Region
Algeria,28.0339,1.6596,22/01/2020,0,0,0,0,Africa
Angola,-11.2027,17.8739,22/01/2020,0,0,0,0,Africa
Benin,9.3077,2.3158,22/01/2020,0,0,0,0,Africa
Burkina Faso,12.2383,-1.5616,22/01/2020,0,0,0,0,Africa
Cabo Verde,16.5388,-23.0418,22/01/2020,0,0,0,0,Africa
Cameroon,3.848,11.5021,22/01/2020,0,0,0,0,Africa
Central African Republic,6.6111,20.9394,22/01/2020,0,0,0,0,Africa
Chad,15.4542,18.7322,22/01/2020,0,0,0,0,Africa
Congo (Brazzaville),-0.228,15.8277,22/01/2020,0,0,0,0,Africa
Congo (Kinshasa),-4.0383,21.7587,22/01/2020,0,0,0,0,Africa
Cote d'Ivoire,7.54,-5.5471,22/01/2020,0,0,0,0,Africa
Equatorial Guinea,1.6508,10.2679,22/01/2020,0,0,0,0,Africa
Eritrea,15.1794,39.7823,22/01/2020,0,0,0,0,Africa
Eswatini,-26.5225,31.4659,22/01/2020,0,0,0,0,Africa
Ethiopia,9.145,40.4897,22/01/2020,0,0,0,0,Africa
Gabon,-0.8037,11.6094,22/01/2020,0,0,0,0,Africa
Gambia,13.4432,-15.3101,22/01/2020,0,0,0,0,Africa
Ghana,7.9465,-1.0232,22/01/2020,0,0,0,0,Africa
Guinea,9.9456,-9.6966,22/01/2020,0,0,0,0,Africa
Kenya,-0.0236,37.9062,22/01/2020,0,0,0,0,Africa
Liberia,6.428055,-9.429499,22/01/2020,0,0,0,0,Africa
Madagascar,-18.766947,46.869107,22/01/2020,0,0,0,0,Africa
Mauritania,21.0079,-10.9408,22/01/2020,0,0,0,0,Africa
Mauritius,-20.348404,57.552152,22/01/2020,0,0,0,0,Africa
Namibia,-22.9576,18.4904,22/01/2020,0,0,0,0,Africa
Niger,17.607789,8.081666,22/01/2020,0,0,0,0,Africa
Nigeria,9.082,8.6753,22/01/2020,0,0,0,0,Africa
Rwanda,-1.9403,29.8739,22/01/2020,0,0,0,0,Africa
Senegal,14.4974,-14.4524,22/01/2020,0,0,0,0,Africa
Seychelles,-4.6796,55.492,22/01/2020,0,0,0,0,Africa
South Africa,-30.5595,22.9375,22/01/2020,0,0,0,0,Africa
Tanzania,-6.369028,34.888822,22/01/2020,0,0,0,0,Africa
Togo,8.6195,0.8248,22/01/2020,0,0,0,0,Africa
Uganda,1.373333,32.290275,22/01/2020,0,0,0,0,Africa
Zambia,-13.133897,27.849332,22/01/2020,0,0,0,0,Africa
Zimbabwe,-19.015438,29.154857,22/01/2020,0,0,0,0,Africa
Mozambique,-18.665695,35.529562,22/01/2020,0,0,0,0,Africa
Guinea-Bissau,11.8037,-15.1804,22/01/2020,0,0,0,0,Africa
Mali,17.570692,-3.996166,22/01/2020,0,0,0,0,Africa
Botswana,-22.3285,24.6849,22/01/2020,0,0,0,0,Africa
Burundi,-3.3731,29.9189,22/01/2020,0,0,0,0,Africa
Sierra Leone,8.460555,-11.779889,22/01/2020,0,0,0,0,Africa
Malawi,-13.2543,34.3015,22/01/2020,0,0,0,0,Africa
South Sudan,6.877,31.307,22/01/2020,0,0,0,0,Africa
Western Sahara,24.2155,-12.8858,22/01/2020,0,0,0,0,Africa
Sao Tome and Principe,0.1864,6.6131,22/01/2020,0,0,0,0,Africa
Comoros,-11.6455,43.3333,22/01/2020,0,0,0,0,Africa
Lesotho,-29.61,28.2336,22/01/2020,0,0,0,0,Africa
Algeria,28.0339,1.6596,23/01/2020,0,0,0,0,Africa
Angola,-11.2027,17.8739,23/01/2020,0,0,0,0,Africa
Benin,9.3077,2.3158,23/01/2020,0,0,0,0,Africa
Burkina Faso,12.2383,-1.5616,23/01/2020,0,0,0,0,Africa
Cabo Verde,16.5388,-23.0418,23/01/2020,0,0,0,0,Africa
Cameroon,3.848,11.5021,23/01/2020,0,0,0,0,Africa
Central African Republic,6.6111,20.9394,23/01/2020,0,0,0,0,Africa
Chad,15.4542,18.7322,23/01/2020,0,0,0,0,Africa
Congo (Brazzaville),-0.228,15.8277,23/01/2020,0,0,0,0,Africa
Congo (Kinshasa),-4.0383,21.7587,23/01/2020,0,0,0,0,Africa
Cote d'Ivoire,7.54,-5.5471,23/01/2020,0,0,0,0,Africa
Equatorial Guinea,1.6508,10.2679,23/01/2020,0,0,0,0,Africa
Eritrea,15.1794,39.7823,23/01/2020,0,0,0,0,Africa
Eswatini,-26.5225,31.4659,23/01/2020,0,0,0,0,Africa
Ethiopia,9.145,40.4897,23/01/2020,0,0,0,0,Africa
Gabon,-0.8037,11.6094,23/01/2020,0,0,0,0,Africa
Gambia,13.4432,-15.3101,23/01/2020,0,0,0,0,Africa
Ghana,7.9465,-1.0232,23/01/2020,0,0,0,0,Africa
Guinea,9.9456,-9.6966,23/01/2020,0,0,0,0,Africa
Kenya,-0.0236,37.9062,23/01/2020,0,0,0,0,Africa
Liberia,6.428055,-9.429499,23/01/2020,0,0,0,0,Africa
Madagascar,-18.766947,46.869107,23/01/2020,0,0,0,0,Africa
Mauritania,21.0079,-10.9408,23/01/2020,0,0,0,0,Africa
Mauritius,-20.348404,57.552152,23/01/2020,0,0,0,0,Africa
Namibia,-22.9576,18.4904,23/01/2020,0,0,0,0,Africa
Niger,17.607789,8.081666,23/01/2020,0,0,0,0,Africa
Nigeria,9.082,8.6753,23/01/2020,0,0,0,0,Africa
Rwanda,-1.9403,29.8739,23/01/2020,0,0,0,0,Africa
Senegal,14.4974,-14.4524,23/01/2020,0,0,0,0,Africa
Seychelles,-4.6796,55.492,23/01/2020,0,0,0,0,Africa
South Africa,-30.5595,22.9375,23/01/2020,0,0,0,0,Africa
Tanzania,-6.369028,34.888822,23/01/2020,0,0,0,0,Africa
Togo,8.6195,0.8248,23/01/2020,0,0,0,0,Africa
Uganda,1.373333,32.290275,23/01/2020,0,0,0,0,Africa
Zambia,-13.133897,27.849332,23/01/2020,0,0,0,0,Africa
Zimbabwe,-19.015438,29.154857,23/01/2020,0,0,0,0,Africa
Mozambique,-18.665695,35.529562,23/01/2020,0,0,0,0,Africa
Guinea-Bissau,11.8037,-15.1804,23/01/2020,0,0,0,0,Africa
Mali,17.570692,-3.996166,23/01/2020,0,0,0,0,Africa
Botswana,-22.3285,24.6849,23/01/2020,0,0,0,0,Africa
Burundi,-3.3731,29.9189,23/01/2020,0,0,0,0,Africa
Sierra Leone,8.460555,-11.779889,23/01/2020,0,0,0,0,Africa
Malawi,-13.2543,34.3015,23/01/2020,0,0,0,0,Africa
South Sudan,6.877,31.307,23/01/2020,0,0,0,0,Africa
Western Sahara,24.2155,-12.8858,23/01/2020,0,0,0,0,Africa
Sao Tome and Principe,0.1864,6.6131,23/01/2020,0,0,0,0,Africa
Comoros,-11.6455,43.3333,23/01/2020,0,0,0,0,Africa
Lesotho,-29.61,28.2336,23/01/2020,0,0,0,0,Africa
Algeria,28.0339,1.6596,24/01/2020,0,0,0,0,Africa
Angola,-11.2027,17.8739,24/01/2020,0,0,0,0,Africa
Benin,9.3077,2.3158,24/01/2020,0,0,0,0,Africa
Burkina Faso,12.2383,-1.5616,24/01/2020,0,0,0,0,Africa
Cabo Verde,16.5388,-23.0418,24/01/2020,0,0,0,0,Africa
Cameroon,3.848,11.5021,24/01/2020,0,0,0,0,Africa
Central African Republic,6.6111,20.9394,24/01/2020,0,0,0,0,Africa
Chad,15.4542,18.7322,24/01/2020,0,0,0,0,Africa
Congo (Brazzaville),-0.228,15.8277,24/01/2020,0,0,0,0,Africa
Congo (Kinshasa),-4.0383,21.7587,24/01/2020,0,0,0,0,Africa
Cote d'Ivoire,7.54,-5.5471,24/01/2020,0,0,0,0,Africa
Equatorial Guinea,1.6508,10.2679,24/01/2020,0,0,0,0,Africa
Eritrea,15.1794,39.7823,24/01/2020,0,0,0,0,Africa
Eswatini,-26.5225,31.4659,24/01/2020,0,0,0,0,Africa
Ethiopia,9.145,40.4897,24/01/2020,0,0,0,0,Africa
Gabon,-0.8037,11.6094,24/01/2020,0,0,0,0,Africa
Gambia,13.4432,-15.3101,24/01/2020,0,0,0,0,Africa
Ghana,7.9465,-1.0232,24/01/2020,0,0,0,0,Africa
Guinea,9.9456,-9.6966,24/01/2020,0,0,0,0,Africa
Kenya,-0.0236,37.9062,24/01/2020,0,0,0,0,Africa
Liberia,6.428055,-9.429499,24/01/2020,0,0,0,0,Africa
Madagascar,-18.766947,46.869107,24/01/2020,0,0,0,0,Africa
Mauritania,21.0079,-10.9408,24/01/2020,0,0,0,0,Africa
Mauritius,-20.348404,57.552152,24/01/2020,0,0,0,0,Africa
Namibia,-22.9576,18.4904,24/01/2020,0,0,0,0,Africa
Niger,17.607789,8.081666,24/01/2020,0,0,0,0,Africa
Nigeria,9.082,8.6753,24/01/2020,0,0,0,0,Africa
Rwanda,-1.9403,29.8739,24/01/2020,0,0,0,0,Africa
Senegal,14.4974,-14.4524,24/01/2020,0,0,0,0,Africa
Seychelles,-4.6796,55.492,24/01/2020,0,0,0,0,Africa
South Africa,-30.5595,22.9375,24/01/2020,0,0,0,0,Africa
Tanzania,-6.369028,34.888822,24/01/2020,0,0,0,0,Africa
Togo,8.6195,0.8248,24/01/2020,0,0,0,0,Africa
Uganda,1.373333,32.290275,24/01/2020,0,0,0,0,Africa
Zambia,-13.133897,27.849332,24/01/2020,0,0,0,0,Africa
Zimbabwe,-19.015438,29.154857,24/01/2020,0,0,0,0,Africa
Mozambique,-18.665695,35.529562,24/01/2020,0,0,0,0,Africa
Guinea-Bissau,11.8037,-15.1804,24/01/2020,0,0,0,0,Africa
Mali,17.570692,-3.996166,24/01/2020,0,0,0,0,Africa
Botswana,-22.3285,24.6849,24/01/2020,0,0,0,0,Africa
Burundi,-3.3731,29.9189,24/01/2020,0,0,0,0,Africa
Sierra Leone,8.460555,-11.779889,24/01/2020,0,0,0,0,Africa
Malawi,-13.2543,34.3015,24/01/2020,0,0,0,0,Africa
South Sudan,6.877,31.307,24/01/2020,0,0,0,0,Africa
Western Sahara,24.2155,-12.8858,24/01/2020,0,0,0,0,Africa
Sao Tome and Principe,0.1864,6.6131,24/01/2020,0,0,0,0,Africa
Comoros,-11.6455,43.3333,24/01/2020,0,0,0,0,Africa
